Race,UseOfForce,Gender,TypeOfArrest,BondAmount,Patrol,Officer,DateTimeOfArrest,SearchConducted,Stopped,Arrest,_SELECTED_CHARGE_1,_SELECTED_CHARGE_2,_SELECTED_CHARGE_3,_SELECTED_CHARGE_4,_SELECTED_CHARGE_5,_SELECTED_CHARGE_6,TimeZone
Asian,No,Female,Summoned/Cited,52577,D3,John Mcfarland,2022-06-25 21:06:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,63599,D3,Susan Hernandez,2023-10-29 10:26:59,No,No,TRUE,Assault,Robbery,Theft,Drug Possession,Nan,Forgery,US/Eastern
Hispanic,No,Female,Taken Into Custody,90162,D3,Gina Edwards,2022-11-03 12:07:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,9545,D2,Carrie Nguyen,2022-05-19 09:13:01,No,No,TRUE,Theft,Arson,Forgery,Theft,Domestic Violence,Domestic Violence,US/Eastern
White,No,Male,Taken Into Custody,59005,D2,Melissa Wilson,2023-05-22 10:52:15,No,No,TRUE,Domestic Violence,Nan,Driving Under the Influence (DUI),Forgery,Driving Under the Influence (DUI),Fraud,US/Eastern
Asian,No,Male,Taken Into Custody,32559,D3,Kimberly Mosley,2024-01-21 00:34:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,40035,D1,Kaitlin Jackson,2022-04-28 17:27:08,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,35699,D1,Brian Glass,2024-03-19 02:47:04,No,No,TRUE,Nan,Nan,Driving Under the Influence (DUI),Domestic Violence,Nan,Driving Under the Influence (DUI),US/Eastern
Asian,No,Male,Taken Into Custody,14451,D2,Melissa Hernandez,2023-04-23 13:49:21,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,15072,D3,Mr. Nicholas Colon II,2023-03-21 17:17:02,No,No,TRUE,Fraud,Domestic Violence,Burglary,Fraud,Driving Under the Influence (DUI),Arson,US/Eastern
Hispanic,No,Female,Taken Into Custody,92845,D3,Mason Webb,2021-04-19 20:33:30,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,38484,D1,Tiffany Little,2021-10-02 13:14:56,No,No,TRUE,Theft,Domestic Violence,Forgery,Theft,Arson,Theft,US/Eastern
White,No,Male,Summoned/Cited,79138,D1,Michael Taylor,2022-06-02 02:52:02,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,74993,D3,Mike Wright,2023-09-19 17:23:09,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,71871,D1,Mary King,2023-09-20 22:21:04,No,No,TRUE,Assault,Arson,Robbery,Forgery,Assault,Drug Possession,US/Eastern
White,No,Female,Not listed,21248,D2,Luke Carr,2022-05-21 14:24:15,No,No,TRUE,Driving Under the Influence (DUI),Forgery,Robbery,Forgery,Nan,Robbery,US/Eastern
Black,Yes,Male,Summoned/Cited,68255,D1,Deborah Ortega,2022-04-17 05:51:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,2221,D2,Jennifer Lee,2021-08-10 14:52:12,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,67133,D1,Jimmy Burns,2022-12-04 20:14:38,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,94102,D3,Eric Sherman,2023-04-22 05:01:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,25461,D2,James Myers,2021-09-11 09:46:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,35537,D1,Robert White,2023-05-28 00:41:05,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,53863,D1,Krista Bryant,2021-11-22 20:58:49,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,83502,D3,Jeffrey Benitez,2022-03-10 22:16:22,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,49477,D3,Craig Phillips,2021-10-10 12:52:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,50497,D3,Dustin Banks,2023-11-23 21:10:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,88932,D3,Jordan Werner,2023-07-11 06:03:45,No,No,TRUE,Arson,Driving Under the Influence (DUI),Burglary,Burglary,Fraud,Robbery,US/Eastern
Hispanic,No,Male,Summoned/Cited,59856,D1,Jennifer Higgins,2022-07-28 01:49:38,No,No,TRUE,Arson,Burglary,Theft,Drug Possession,Theft,Burglary,US/Eastern
Asian,No,Male,Taken Into Custody,8255,D3,Christopher Williams,2023-02-10 00:05:09,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,90938,D3,David Pierce,2022-08-09 23:20:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,37668,D3,Mr. William Collins,2024-02-29 16:27:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,86878,D2,Kevin Mcconnell,2022-09-05 00:36:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,69380,D1,Eric Baker,2023-03-14 16:27:44,No,No,TRUE,Robbery,Theft,Burglary,Drug Possession,Drug Possession,Drug Possession,US/Eastern
Asian,No,Female,Not listed,53387,D3,Cole Adams,2021-06-20 18:15:20,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,47904,D3,Julie Martin,2023-08-01 12:06:56,No,No,TRUE,Fraud,Assault,Nan,Drug Possession,Arson,Nan,US/Eastern
White,No,Female,Taken Into Custody,93452,D3,Tina Brown,2023-01-27 11:19:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,84606,D1,Shelly Osborne,2023-06-02 09:11:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,61058,D3,Kristen Ray,2024-02-01 14:03:32,No,No,TRUE,Drug Possession,Forgery,Driving Under the Influence (DUI),Fraud,Nan,Driving Under the Influence (DUI),US/Eastern
Asian,No,Male,Summoned/Cited,52542,D2,Samuel Boyd,2021-10-10 12:30:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,99885,D3,Gloria Jackson,2024-01-26 05:31:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,59750,D1,Tony White,2021-12-24 12:05:02,No,No,TRUE,Arson,Fraud,Burglary,Burglary,Domestic Violence,Robbery,US/Eastern
Hispanic,No,Female,Taken Into Custody,28932,D3,Laura Hughes,2023-10-09 06:32:01,No,No,TRUE,Domestic Violence,Theft,Forgery,Assault,Burglary,Nan,US/Eastern
Hispanic,No,Male,Summoned/Cited,67256,D1,Thomas Garcia,2023-09-04 16:37:59,No,No,TRUE,Forgery,Forgery,Nan,Forgery,Assault,Domestic Violence,US/Eastern
Hispanic,No,Female,Summoned/Cited,76416,D2,Teresa Sullivan,2024-02-13 12:51:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,54834,D2,Natasha Hughes,2022-02-26 22:23:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,28938,D3,Kristen Petersen,2022-05-09 02:03:29,No,No,TRUE,Theft,Burglary,Theft,Theft,Arson,Forgery,US/Eastern
White,No,Female,Summoned/Cited,16056,D1,Jared Hill DDS,2022-02-24 00:21:11,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,80528,D1,Brian Ruiz,2021-08-07 15:59:56,No,No,TRUE,Fraud,Arson,Theft,Driving Under the Influence (DUI),Driving Under the Influence (DUI),Burglary,US/Eastern
White,No,Female,Not listed,80678,D3,Isabel Hall,2022-02-03 09:51:39,No,No,TRUE,Nan,Robbery,Fraud,Theft,Burglary,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Male,Not listed,99187,D1,Brett Hill,2022-01-04 17:54:08,Yes,Yes,TRUE,Robbery,Assault,Robbery,Driving Under the Influence (DUI),Robbery,Domestic Violence,US/Eastern
White,No,Male,Not listed,29748,D2,Joseph Allen,2024-02-19 23:12:22,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,2591,D3,Paula Rogers,2022-07-07 13:51:19,No,No,TRUE,Theft,Domestic Violence,Theft,Fraud,Arson,Robbery,US/Eastern
Black,Yes,Female,Taken Into Custody,99426,D2,Kristi Nichols,2023-02-23 01:42:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,95989,D2,Timothy Blackwell,2024-01-20 00:58:41,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,25962,D3,Courtney Gibbs,2022-12-14 03:19:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,10757,D1,Raven Ryan,2021-06-23 10:57:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,26597,D1,Renee Long,2023-06-02 00:02:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,83053,D2,Aaron Weeks,2021-10-25 23:19:27,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,15033,D3,Alexander Palmer,2021-04-20 07:19:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,69728,D3,Erica Robinson,2022-10-16 01:03:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,37600,D2,Margaret Johns,2023-02-09 07:33:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,33306,D3,Michael Williams,2023-08-31 13:39:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,28730,D1,Russell Castro,2021-10-03 04:23:30,No,No,TRUE,Arson,Arson,Burglary,Forgery,Nan,Domestic Violence,US/Eastern
Black,Yes,Male,Not listed,52406,D2,Elizabeth Lopez,2021-09-01 05:06:55,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,26202,D1,Jeremy Davis,2023-12-20 15:43:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,50518,D3,Michelle Garcia,2021-10-25 19:54:30,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,1589,D3,Elizabeth Gray,2024-03-01 03:33:49,No,No,TRUE,Arson,Burglary,Arson,Domestic Violence,Forgery,Burglary,US/Eastern
Black,Yes,Female,Not listed,18812,D2,Zachary Warren,2021-12-29 21:13:18,No,No,TRUE,Fraud,Fraud,Nan,Drug Possession,Arson,Nan,US/Eastern
Asian,No,Female,Not listed,77447,D3,Richard Payne,2023-12-17 22:57:44,No,No,TRUE,Robbery,Assault,Driving Under the Influence (DUI),Forgery,Drug Possession,Assault,US/Eastern
White,No,Male,Summoned/Cited,93565,D1,Emily Neal,2023-09-02 18:12:47,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,94692,D2,Valerie Morales,2023-12-31 13:08:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,82915,D1,Katherine Gonzales,2023-05-18 14:13:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,53870,D1,Matthew Robertson,2021-09-03 20:44:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,9264,D3,Joshua Pacheco,2021-11-15 05:09:29,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,48171,D2,Joseph Lopez,2023-01-11 15:44:13,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,12315,D3,Eddie Keith,2022-03-30 11:14:41,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,61816,D1,Rebecca Stephens,2022-07-23 06:27:29,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,71983,D1,Jared Curry,2023-09-03 20:00:18,No,No,TRUE,Fraud,Driving Under the Influence (DUI),Assault,Drug Possession,Driving Under the Influence (DUI),Nan,US/Eastern
Asian,No,Female,Not listed,31220,D1,Daniel Estrada,2022-08-15 23:23:22,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,7789,D3,Beverly Gonzalez,2022-04-01 04:27:46,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,12791,D1,Rachel Weeks,2022-11-30 00:16:58,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,1824,D2,Mark Myers,2021-06-27 18:32:05,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Summoned/Cited,64819,D2,Amy Washington MD,2023-05-26 06:20:25,No,No,TRUE,Arson,Domestic Violence,Forgery,Robbery,Domestic Violence,Assault,US/Eastern
Asian,No,Male,Taken Into Custody,70693,D2,Joseph Norton,2023-04-28 15:35:45,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,79594,D3,Megan Higgins,2021-10-12 10:08:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,53496,D1,Christopher Blake,2021-10-13 17:45:18,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,19123,D3,Joseph Garcia,2023-11-05 06:47:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,91910,D2,Emily Lee,2023-04-29 21:05:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,8612,D3,Karen Krueger,2023-09-19 17:37:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,91593,D3,Cindy Hill,2023-01-26 21:40:35,No,No,TRUE,Theft,Robbery,Driving Under the Influence (DUI),Burglary,Burglary,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Male,Taken Into Custody,43057,D1,Lindsay Perkins,2023-03-22 08:20:54,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,1093,D2,Sean Young,2022-03-03 23:58:45,No,No,TRUE,Drug Possession,Assault,Nan,Assault,Driving Under the Influence (DUI),Driving Under the Influence (DUI),US/Eastern
White,No,Male,Not listed,32815,D2,Robert Mitchell,2022-04-18 03:35:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,59007,D3,Robert Thompson,2022-03-03 03:07:40,No,No,TRUE,Domestic Violence,Nan,Nan,Assault,Robbery,Robbery,US/Eastern
Hispanic,No,Male,Not listed,43118,D2,Veronica Brown,2021-06-11 18:34:30,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,95109,D1,Misty Smith,2021-03-25 12:56:23,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,68023,D3,Paul Buck,2021-06-23 20:42:58,Yes,Yes,TRUE,Domestic Violence,Forgery,Fraud,Domestic Violence,Fraud,Theft,US/Eastern
Black,Yes,Male,Taken Into Custody,8467,D2,Crystal Aguirre,2021-10-28 01:45:10,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,82568,D3,Joel Rose,2022-08-18 01:18:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,36722,D1,Christopher Dickson,2021-10-12 17:18:21,No,No,TRUE,Burglary,Nan,Fraud,Assault,Burglary,Nan,US/Eastern
Asian,No,Female,Summoned/Cited,81988,D1,Jeffrey Bailey,2021-09-05 22:23:37,No,No,TRUE,Domestic Violence,Domestic Violence,Burglary,Domestic Violence,Burglary,Fraud,US/Eastern
Black,Yes,Female,Taken Into Custody,1951,D2,Nicole Sanders,2021-06-05 08:18:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,55450,D3,Lori Butler,2023-08-09 20:53:29,No,No,TRUE,Forgery,Driving Under the Influence (DUI),Drug Possession,Assault,Fraud,Driving Under the Influence (DUI),US/Eastern
White,No,Female,Taken Into Custody,45375,D1,Renee Smith,2022-08-19 11:22:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,4798,D1,Melinda Wagner,2023-02-13 05:00:57,No,No,TRUE,Forgery,Burglary,Forgery,Robbery,Domestic Violence,Theft,US/Eastern
Asian,No,Male,Summoned/Cited,13041,D1,Vanessa Keller,2021-12-24 02:45:07,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,63812,D2,Barbara Mcgee,2022-10-22 14:48:48,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,67961,D3,Raymond Hogan,2021-08-14 23:57:19,No,No,TRUE,Robbery,Driving Under the Influence (DUI),Burglary,Forgery,Theft,Arson,US/Eastern
Asian,No,Male,Taken Into Custody,41491,D2,Laurie Powell,2023-07-11 18:53:43,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,39806,D2,Daniel Huynh,2023-05-09 10:02:58,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,29739,D2,Mary Hart,2022-07-06 08:55:27,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,48053,D1,Sarah Brown,2022-09-09 07:17:01,No,No,TRUE,Assault,Drug Possession,Drug Possession,Burglary,Drug Possession,Burglary,US/Eastern
Black,No,Female,Taken Into Custody,72053,D3,Andrew Salazar,2022-01-23 05:05:49,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,17015,D3,Scott Lambert,2021-09-28 00:57:11,No,No,TRUE,Robbery,Forgery,Domestic Violence,Assault,Domestic Violence,Theft,US/Eastern
Asian,No,Male,Taken Into Custody,38078,D2,Corey Miller,2021-04-17 08:46:22,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,60415,D3,David Riley,2022-08-03 22:24:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,84511,D1,Kimberly Parker,2022-05-04 20:04:34,No,No,TRUE,Arson,Assault,Domestic Violence,Robbery,Driving Under the Influence (DUI),Forgery,US/Eastern
Asian,No,Male,Not listed,74390,D2,Michael Kelly,2022-07-20 00:51:47,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,88838,D2,Tyler Stein,2021-05-03 03:15:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,50935,D1,Patrick Smith,2023-06-09 16:13:13,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,27869,D3,James Norris,2023-08-04 04:50:49,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,5579,D1,Amber Jackson,2022-09-15 06:18:53,No,Yes,TRUE,Arson,Domestic Violence,Driving Under the Influence (DUI),Forgery,Burglary,Fraud,US/Eastern
Black,No,Female,Taken Into Custody,19009,D1,Jose Smith,2021-05-25 08:05:15,No,No,TRUE,Burglary,Theft,Forgery,Robbery,Robbery,Drug Possession,US/Eastern
Asian,No,Female,Taken Into Custody,87113,D1,Kristen Ortega,2023-09-14 19:13:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,96916,D2,Shelley Sandoval,2023-07-17 00:48:04,No,No,TRUE,Theft,Robbery,Fraud,Assault,Forgery,Arson,US/Eastern
Black,No,Male,Taken Into Custody,80701,D1,Jasmin Bates,2023-12-29 18:53:56,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,50241,D1,Chad Harper,2023-12-11 02:33:13,No,No,TRUE,Driving Under the Influence (DUI),Forgery,Robbery,Theft,Forgery,Domestic Violence,US/Eastern
Asian,No,Male,Taken Into Custody,97620,D3,Harold Edwards,2021-06-08 02:12:11,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,231,D2,Amy Frank,2023-11-13 22:13:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,53641,D1,Mark Cruz,2024-02-28 15:01:13,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Summoned/Cited,68487,D2,Betty Taylor,2022-04-13 11:51:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,14744,D3,Dana Sexton,2023-04-23 00:55:46,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,67464,D1,Samantha Sexton,2022-12-18 13:40:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,427,D2,Wanda Lawrence,2022-01-22 10:28:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,63589,D3,Stephanie Scott,2021-10-26 07:43:02,No,No,TRUE,Driving Under the Influence (DUI),Domestic Violence,Driving Under the Influence (DUI),Theft,Arson,Arson,US/Eastern
Black,No,Male,Summoned/Cited,37727,D3,Nicholas Myers,2023-09-16 06:31:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,54805,D1,Alexander Warren,2022-01-31 09:52:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
